Title	Award/Nomination	Link
Conditional Antibody Design as 3D Equivariant Graph Translation	Honorable Mention	https://openreview.net/forum?id=LFHFQbjxIiP
Disentanglement with Biological Constraints: A Theory of Functional Cell Types	Honorable Mention	https://openreview.net/forum?id=9Z_GfhZnGH
Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning	Honorable Mention	https://openreview.net/forum?id=F61FwJTZhb
On the duality between contrastive and non-contrastive self-supervised learning	Honorable Mention	https://openreview.net/forum?id=kDEL91Dufpa
Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning	Honorable Mention	https://openreview.net/forum?id=Uuf2q9TfXGA
DreamFusion: Text-to-3D using 2D Diffusion	Outstanding Paper	https://openreview.net/forum?id=FjNys5c7VyY
Emergence of Maps in the Memories of Blind Navigation Agents	Outstanding Paper	https://openreview.net/forum?id=lTt4KjHSsyl
Rethinking the Expressive Power of GNNs via Graph Biconnectivity	Outstanding Paper	https://openreview.net/forum?id=r9hNv76KoT3
Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching	Outstanding Paper	https://openreview.net/forum?id=88nT0j5jAn
